BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 161 |00 35.5|-02 50| 15.0  |p           |                  |            |Gx         |
|NGC 5937|15 30.8|-02 49| 13.0  |p           |                  |            |Gx         |
|NGC 1323|03 25.0|-02 49|       |            |                  |            |Gx         |
|NGC 1253|03 14.1|-02 49| 12.0  |p           |                  |  4.8       |Gx         |
|NGC 259 |00 48.1|-02 47|       |            |                  |  3.2       |Gx         |
|IC 1466 |23 03.7|-02 46|       |            |                  |            |U          |
|NGC 1308|03 22.5|-02 45| 15.0  |p           |                  |            |Gx         |
|NGC 1287|03 18.6|-02 45|       |            |                  |            |Gx         |
|NGC 7530|23 14.3|-02 45| 15.0  |p           |                  |            |Gx         |
|NGC 1670|04 49.9|-02 44| 14.0  |p           |                  |            |Gx         |
|IC 2976 |11 54.5|-02 43|       |            |                  |            |U          |
|NGC 4684|12 47.3|-02 43| 13.0  |p           |                  |  2.9       |Gx         |
|IC 892  |13 31.8|-02 43| 14.0  |p           |                  |  1.3       |Gx         |
|IC 2093 |04 47.6|-02 43|       |            |                  |            |DS         |
|IC 1403 |21 50.5|-02 43|       |            |                  |            |U          |
|NGC 331 |00 58.6|-02 43|       |            |                  |            |?          |
|NGC 7695|23 33.3|-02 43|       |            |                  |            |-          |
|NGC 3979|11 56.1|-02 42| 14.0  |p           |                  |            |Gx         |
|NGC 6772|19 14.6|-02 42| 14.0  |p           |                  |  1.0       |Pl         |
|NGC 7532|23 14.4|-02 42| 15.0  |p           |                  |  1.8       |Gx         |
|NGC 7694|23 33.4|-02 42| 14.0  |p           |                  |            |Gx         |
|NGC 7534|23 14.5|-02 39| 14.0  |p           |                  |            |Gx         |
|IC 12   |00 20.3|-02 39| 16.0  |p           |                  |  0.7       |Gx         |
|NGC 3243|10 26.4|-02 38| 14.0  |p           |                  |            |Gx         |
|NGC 1678|04 51.7|-02 38| 14.0  |p           |                  |            |Gx         |
|NGC 111 |00 26.7|-02 38|       |            |                  |            |-          |
|NGC 2690|08 52.7|-02 37| 14.0  |p           |                  |            |Gx         |
|IC 893  |13 31.8|-02 36| 15.0  |p           |                  |  1.2       |Gx         |
|NGC 2706|08 56.3|-02 35| 14.0  |p           |                  |            |Gx         |
|NGC 5913|15 20.9|-02 35| 14.0  |p           |                  |            |Gx         |
|NGC 6900|20 21.6|-02 34| 14.0  |p           |                  |            |Gx         |
|IC 539  |09 29.1|-02 33| 14.0  |p           |                  |  1.2       |Gx         |
|IC 593  |10 08.3|-02 32| 14.0  |p           |                  |  0.8       |Gx         |
|NGC 5768|14 52.1|-02 32| 13.0  |p           |                  |  2.0       |Gx         |
|NGC 2615|08 34.6|-02 32| 13.0  |p           |                  |            |Gx         |
|NGC 1908|05 26.0|-02 32|       |            |                  |            |-          |
|IC 4224 |13 19.1|-02 31| 15.0  |p           |                  |  0.8       |Gx         |
|NGC 1239|03 11.0|-02 31| 15.0  |p           |                  |            |Gx         |
|IC 592  |10 07.9|-02 30| 14.0  |p           |                  |  1.0       |Gx         |
|NGC 2917|09 34.5|-02 30| 14.0  |p           |                  |            |Gx         |
|NGC 113 |00 27.0|-02 30| 13.0  |p           |                  |            |Gx         |
|NGC 1653|04 45.8|-02 25| 13.0  |p           |                  |  2.0       |Gx         |
|IC 4229 |13 22.6|-02 24|       |            |                  |            |U          |
|IC 587  |10 03.0|-02 24|       |            |                  |            |U          |
|IC 434  |05 41.0|-02 24|       |            |                  | 60.0       |Nb         |
|NGC 1266|03 16.0|-02 24| 14.0  |p           |                  |            |Gx         |
|NGC 4079|12 04.8|-02 23| 14.0  |p           |                  |  2.4       |Gx         |
|NGC 7554|23 15.7|-02 23|       |            |                  |            |Gx         |
|IC 1870 |02 57.9|-02 21|       |            |                  |  2.9       |Gx         |
|NGC 7566|23 16.6|-02 21|       |            |                  |            |U          |
|NGC 7556|23 15.9|-02 20| 14.0  |p           |                  |            |Gx         |
|IC 435  |05 43.0|-02 19|       |            |                  |  5.0       |Nb         |
|NGC 1305|03 21.4|-02 19| 15.0  |p           |                  |  1.9       |Gx         |
|IC 5356 |23 47.5|-02 19| 15.0  |p           |                  |  0.3       |Gx         |
|NGC 7546|23 15.2|-02 18| 14.0  |p           |                  |            |Gx         |
|IC 5351 |23 47.3|-02 18|       |            |                  |            |U          |
|IC 5357 |23 47.4|-02 18|       |            |                  |            |U          |
|NGC 5095|13 20.6|-02 17| 15.0  |p           |                  |            |Gx         |
|NGC 6118|16 21.8|-02 17| 12.0  |p           |                  |  4.7       |Gx         |
|IC 54   |00 50.8|-02 17|       |            |                  |            |DS         |
|IC 5359 |23 47.7|-02 17| 15.0  |p           |                  |  1.0       |Gx         |
|IC 4218 |13 17.1|-02 16| 14.0  |p           |                  |  1.4       |Gx         |
|NGC 5618|14 27.2|-02 16| 15.0  |p           |                  |  1.8       |Gx         |
|IC 5352 |23 47.4|-02 16|       |            |                  |            |U          |
|NGC 2023|05 41.6|-02 14|       |            |                  | 10.0       |Nb         |
|IC 609  |10 25.5|-02 13| 14.0  |p           |                  |  1.6       |Gx         |
|NGC 5327|13 52.1|-02 12| 14.0  |p           |                  |            |Gx         |
|NGC 7182|22 01.9|-02 12| 15.0  |p           |                  |            |Gx         |
|NGC 279 |00 52.3|-02 12| 14.0  |p           |                  |  1.8       |Gx         |
|NGC 7544|23 15.0|-02 12|       |            |                  |            |Gx         |
|NGC 1507|04 04.5|-02 11| 12.2  |            |                  |  3.4       |Gx         |
|NGC 6922|20 29.9|-02 11| 14.0  |p           |                  |            |Gx         |
|IC 29   |00 34.2|-02 11| 15.0  |p           |                  |  0.6       |Gx         |
|IC 510  |08 32.1|-02 10| 15.0  |p           |                  |  1.1       |Gx         |
|NGC 7506|23 11.8|-02 10| 14.0  |p           |                  |            |Gx         |
|IC 651  |10 51.0|-02 08|       |            |                  |  0.8       |Gx         |
|NGC 6033|16 04.4|-02 08| 15.0  |p           |                  |            |Gx         |
|IC 33   |00 35.1|-02 08| 15.0  |p           |                  |  0.5       |Gx         |
|IC 32   |00 35.0|-02 08| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 7517|23 13.3|-02 07| 15.0  |p           |                  |            |Gx         |
|NGC 1654|04 45.8|-02 06| 14.0  |p           |                  |  1.0       |Gx         |
|NGC 1298|03 20.2|-02 06| 14.0  |p           |                  |  1.5       |Gx         |
|IC 205  |02 07.4|-02 06| 15.0  |p           |                  |  1.1       |Gx         |
|NGC 4006|11 58.2|-02 05| 14.0  |p           |                  |            |Gx         |
|IC 2983 |11 58.3|-02 05|       |            |                  |            |SS         |
|IC 30   |00 34.3|-02 05| 15.0  |p           |                  |  0.4       |Gx         |
|IC 517  |08 36.3|-02 04| 15.0  |p           |                  |            |Gx         |
|NGC 1657|04 46.2|-02 04| 15.0  |p           |                  |            |Gx         |
|IC 514  |08 35.4|-02 03| 15.0  |p           |                  |            |Gx         |
|NGC 1661|04 47.2|-02 03| 14.0  |p           |                  |            |Gx         |
|IC 119  |01 27.9|-02 03|       |            |                  |  1.6       |Gx         |
|NGC 6929|20 33.4|-02 02| 13.5  |            |                  |  0.9       |Gx         |
|IC 5090 |21 11.6|-02 02| 14.0  |p           |                  |  1.1       |Gx         |
|NGC 6926|20 33.1|-02 01| 12.4  |            |                  |  2.1       |Gx         |
|IC 216  |02 15.8|-02 01| 16.0  |p           |                  |            |Gx         |
|IC 176  |01 56.9|-02 01| 15.0  |p           |                  |  2.4       |Gx         |
|NGC 7533|23 14.4|-02 01| 15.0  |p           |                  |            |Gx         |
|NGC 580 |01 30.7|-02 00|       |            |                  |            |U          |
|NGC 1289|03 18.9|-01 59| 14.0  |p           |                  |            |Gx         |
|NGC 577 |01 30.7|-01 59| 14.0  |p           |                  |            |Gx         |
|IC 126  |01 29.8|-01 59| 16.0  |p           |                  |            |Gx         |
|IC 314  |03 18.8|-01 58| 14.0  |p           |                  |  2.1       |Gx         |
|NGC 7181|22 01.8|-01 58| 15.0  |p           |                  |            |Gx         |
|NGC 558 |01 27.3|-01 58|       |            |                  |  0.7       |Gx         |
|NGC 6218|16 47.2|-01 57|  6.6  |            |                  | 14.5       |Gb         |
|NGC 4454|12 28.8|-01 56| 12.1  |            |                  |  2.2       |Gx         |
|IC 680  |11 18.0|-01 56| 15.0  |p           |                  |  0.6       |Gx         |
|IC 124  |01 29.2|-01 56|       |            |                  |            |SS         |
|NGC 353 |01 02.6|-01 56| 14.0  |p           |                  |            |Gx         |
|IC 120  |01 28.2|-01 55|       |            |                  |            |Gx         |
|NGC 560 |01 27.4|-01 55| 12.9  |            |                  |  2.3       |Gx         |
|NGC 351 |01 02.1|-01 55| 14.0  |p           |                  |            |Gx         |
|IC 515  |08 35.5|-01 54| 16.0  |p           |                  |  1.2       |Gx         |
|NGC 564 |01 27.8|-01 53| 12.5  |            |                  |  1.8       |Gx         |
|NGC 271 |00 50.8|-01 53| 13.0  |p           |                  |  2.5       |Gx         |
|IC 525  |09 01.3|-01 52| 15.0  |p           |                  |  1.0       |Gx         |
|IC 516  |08 35.8|-01 52| 16.0  |p           |                  |            |Gx         |
|IC 1390 |21 32.5|-01 52| 15.0  |p           |                  |            |Gx         |
|IC 117  |01 27.4|-01 52|       |            |                  |            |SS         |
|NGC 2616|08 35.6|-01 51| 12.6  |            |                  |  1.3       |Gx         |
|NGC 2024|05 41.9|-01 51|       |            |                  | 30.0       |Nb         |
|NGC 1037|02 38.0|-01 51| 14.0  |p           |                  |            |Gx         |
|NGC 1638|04 41.6|-01 49| 12.1  |            |                  |  2.5       |Gx         |
|NGC 124 |00 27.9|-01 49| 14.0  |p           |                  |  1.6       |Gx         |
|NGC 5192|13 30.9|-01 47| 15.0  |p           |                  |            |Gx         |
|NGC 308 |00 56.4|-01 47|       |            |                  |            |SS         |
|NGC 118 |00 27.3|-01 47| 15.0  |p           |                  |            |Gx         |
|NGC 114 |00 27.1|-01 47| 15.0  |p           |                  |            |Gx         |
|NGC 310 |00 56.9|-01 46|       |            |                  |            |SS         |
|NGC 307 |00 56.6|-01 46| 14.0  |p           |                  |            |Gx         |
|NGC 7524|23 13.8|-01 45|       |            |                  |            |Gx         |
|NGC 5183|13 30.1|-01 44| 13.0  |p           |                  |            |Gx         |
|NGC 1121|02 50.8|-01 44| 13.0  |p           |                  |            |Gx         |
|NGC 245 |00 46.1|-01 44| 13.0  |p           |                  |  1.4       |Gx         |
|NGC 7521|23 13.7|-01 44| 15.0  |p           |                  |            |Gx         |
|NGC 5197|13 31.5|-01 42| 15.0  |p           |                  |            |Gx         |
|NGC 5202|13 32.1|-01 42| 15.0  |p           |                  |            |Gx         |
|NGC 5478|14 08.2|-01 42| 14.0  |p           |                  |            |Gx         |
|NGC 5184|13 30.2|-01 41| 13.0  |p           |                  |            |Gx         |
|IC 81   |01 09.2|-01 41|       |            |                  |            |U          |
|NGC 7746|23 45.4|-01 41| 14.0  |p           |                  |            |Gx         |
|IC 725  |11 43.5|-01 40| 15.0  |p           |                  |            |Gx         |
|IC 1693 |01 24.0|-01 39|       |            |                  |            |Gx         |
|IC 754  |11 59.4|-01 38| 14.0  |p           |                  |  0.9       |Gx         |
|NGC 4690|12 47.9|-01 38| 14.0  |p           |                  |            |Gx         |
|IC 1125 |15 33.1|-01 38| 14.0  |p           |                  |  1.7       |Gx         |
|NGC 7069|21 28.1|-01 38| 15.0  |p           |                  |            |Gx         |
|NGC 557 |01 26.5|-01 38| 15.0  |p           |                  |            |Gx         |
|IC 1703 |01 26.4|-01 38|       |            |                  |  2.3       |Gx         |
|NGC 519 |01 24.5|-01 38|       |            |                  |            |Gx         |
|NGC 122 |00 27.7|-01 38|       |            |                  |            |?          |
|IC 697  |11 28.6|-01 37| 15.0  |p           |                  |            |Gx         |
|NGC 5196|13 31.4|-01 37| 15.0  |p           |                  |            |Gx         |
|IC 1298 |19 18.5|-01 37|       |            |                  |            |OC         |
|IC 1696 |01 24.9|-01 37|       |            |                  |  1.4       |Gx         |
|NGC 448 |01 15.3|-01 37| 13.0  |p           |                  |            |Gx         |
|IC 728  |11 44.9|-01 36| 15.0  |p           |                  |  1.3       |Gx         |
|NGC 6778|19 18.4|-01 36| 13.0  |p           |                  |  0.3       |Pl         |
|NGC 123 |00 27.8|-01 36|       |            |                  |            |?          |
|NGC 530 |01 24.7|-01 35| 14.0  |p           |                  |  1.9       |Gx         |
|IC 106  |01 24.7|-01 35|       |            |                  |            |U          |
|IC 1128 |15 37.9|-01 33|       |            |                  |            |U          |
|IC 1136 |15 47.6|-01 33| 15.0  |p           |                  |            |Gx         |
|IC 186  |02 00.4|-01 33| 15.0  |p           |                  |            |Gx         |
|NGC 538 |01 25.4|-01 33| 15.0  |p           |                  |  1.3       |Gx         |
|NGC 227 |00 42.6|-01 32| 13.0  |p           |                  |  2.1       |Gx         |
|IC 1213 |16 22.0|-01 31|       |            |                  |            |U          |
|IC 185  |02 00.1|-01 31| 16.0  |p           |                  |  0.5       |Gx         |
|IC 1411 |21 56.1|-01 31| 14.0  |p           |                  |  0.9       |Gx         |
|NGC 7391|22 50.7|-01 31| 13.0  |p           |                  |            |Gx         |
|NGC 120 |00 27.5|-01 31| 15.0  |p           |                  |  1.8       |Gx         |
|NGC 850 |02 11.2|-01 30| 14.0  |p           |                  |            |Gx         |
|NGC 6172|16 32.1|-01 29|       |            |                  |            |-          |
|IC 432  |05 40.9|-01 29|       |            |                  |  8.0       |Nb         |
|NGC 2260|06 38.1|-01 28|       |            |                  |            |-          |
|IC 431  |05 40.3|-01 27|       |            |                  |  5.0       |Nb         |
|IC 104  |01 24.6|-01 27|       |            |                  |            |DS         |
|NGC 5345|13 54.3|-01 25| 14.0  |p           |                  |            |Gx         |
|NGC 535 |01 25.5|-01 25| 15.0  |p           |                  |  1.3       |Gx         |
|IC 204  |02 07.4|-01 23|       |            |                  |            |U          |
|NGC 541 |01 25.7|-01 23| 12.0  |            |                  |  2.7       |Gx         |
|IC 1384 |21 27.8|-01 22| 14.0  |p           |                  |  0.6       |Gx         |
|NGC 4629|12 42.6|-01 21|       |            |                  |            |DS         |
|IC 1387 |21 29.6|-01 21| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 547 |01 26.0|-01 21| 12.3  |            |                  |  1.7       |Gx         |
|NGC 545 |01 26.0|-01 20| 14.0  |p           |                  |  3.0       |Gx         |
|NGC 1015|02 38.1|-01 19| 12.0  |p           |                  |  3.5       |Gx         |
|NGC 3047|09 54.6|-01 18| 14.0  |p           |                  |            |Gx         |
|NGC 1126|02 52.4|-01 18| 15.0  |p           |                  |            |Gx         |
|NGC 565 |01 28.2|-01 18| 15.0  |p           |                  |  1.6       |Gx         |
|NGC 543 |01 25.8|-01 18| 13.3  |            |                  |  0.7       |Gx         |
|NGC 1409|03 41.2|-01 17| 15.0  |p           |                  |  1.3       |Gx         |
|NGC 1410|03 41.2|-01 17|       |            |                  |            |Gx         |
|NGC 7693|23 33.3|-01 17| 14.0  |p           |                  |            |Gx         |
|NGC 1132|02 52.9|-01 16| 14.0  |p           |                  |            |Gx         |
|NGC 548 |01 26.0|-01 14|       |            |                  |  1.5       |Gx         |
|NGC 4753|12 52.4|-01 12|  9.9  |            |                  |  5.4       |Gx         |
|NGC 1990|05 36.2|-01 12|       |            |                  | 50.0       |Nb         |
|IC 1446 |22 29.1|-01 12|       |            |                  |            |U          |
|IC 1381 |21 27.6|-01 11| 15.0  |p           |                  |  0.5       |Gx         |
|NGC 7434|22 58.4|-01 11| 15.0  |p           |                  |            |Gx         |
|IC 976  |14 08.7|-01 09| 14.0  |p           |                  |  1.5       |Gx         |
|NGC 5496|14 11.6|-01 09| 13.0  |p           |                  |  4.4       |Gx         |
|NGC 941 |02 28.5|-01 09| 12.4  |            |                  |  2.8       |Gx         |
|NGC 936 |02 27.6|-01 09| 10.1  |            |                  |  5.2       |Gx         |
|IC 4338 |13 52.7|-01 08|       |            |                  |            |U          |
|NGC 5334|13 52.9|-01 07| 12.0  |p           |                  |  4.4       |Gx         |
|NGC 955 |02 30.6|-01 07| 12.0  |            |                  |  3.0       |Gx         |
|NGC 4030|12 00.4|-01 06| 12.0  |p           |                  |  4.3       |Gx         |
|NGC 3662|11 23.8|-01 06| 14.0  |p           |                  |  1.6       |Gx         |
|NGC 6785|19 20.9|-01 06|       |            |                  |            |U          |
|NGC 5792|14 58.4|-01 05| 12.0  |p           |                  |  7.2       |Gx         |
|NGC 1194|03 03.8|-01 05| 14.0  |p           |                  |            |Gx         |
|IC 1383 |21 27.7|-01 05| 16.0  |p           |                  |            |Gx         |
|NGC 3907|11 49.5|-01 04| 14.0  |p           |                  |            |Gx         |
|NGC 4202|12 18.2|-01 04| 14.0  |p           |                  |            |Gx         |
|IC 1385 |21 28.9|-01 04| 15.0  |p           |                  |  0.4       |Gx         |
|IC 535  |09 22.2|-01 03| 16.0  |p           |                  |            |Gx         |
|NGC 5211|13 33.2|-01 02| 14.0  |p           |                  |            |Gx         |
|NGC 7428|22 57.3|-01 02| 14.0  |p           |                  |  2.6       |Gx         |
|NGC 442 |01 14.6|-01 01| 15.0  |p           |                  |  1.2       |Gx         |
|NGC 4355|12 24.2|-01 00|       |            |                  |            |-          |
|IC 1515 |23 56.2|-00 59|       |            |                  |  1.2       |Gx         |
|NGC 570 |01 29.0|-00 57| 14.0  |p           |                  |  2.5       |Gx         |
|IC 849  |13 07.6|-00 56| 14.0  |p           |                  |  1.2       |Gx         |
|NGC 5651|14 31.3|-00 56|       |            |                  |            |-          |
|NGC 6775|19 16.8|-00 55|       |            |                  |            |Ast        |
|NGC 585 |01 31.7|-00 55| 14.0  |p           |                  |            |Gx         |
|IC 1516 |23 56.3|-00 55|       |            |                  |  1.6       |Gx         |
|NGC 497 |01 22.4|-00 53| 14.0  |p           |                  |  2.4       |Gx         |
|IC 1059 |14 50.7|-00 52| 16.0  |p           |                  |            |Gx         |
|NGC 450 |01 15.5|-00 52| 12.1  |            |                  |  3.2       |Gx         |
|NGC 4418|12 26.9|-00 51| 14.0  |p           |                  |            |Gx         |
|IC 850  |13 07.8|-00 51|       |            |                  |  0.8       |Gx         |
|NGC 364 |01 04.6|-00 51| 14.0  |p           |                  |            |Gx         |
|NGC 7047|21 16.5|-00 50| 14.0  |p           |                  |            |Gx         |
|NGC 7089|21 33.5|-00 49|  6.5  |            |                  | 12.9       |Gb         |
|NGC 2346|07 09.4|-00 48|       |            |                  |  0.9       |Pl         |
|NGC 1211|03 06.9|-00 47| 13.0  |p           |                  |            |Gx         |
|NGC 1671|04 50.3|-00 46|       |            |                  |            |-          |
|IC 1856 |02 48.9|-00 46|       |            |                  |  1.3       |Gx         |
|NGC 863 |02 14.6|-00 46| 14.0  |p           |                  |  1.4       |Gx         |
|NGC 866 |02 14.6|-00 46|       |            |                  |            |U          |
|NGC 885 |02 14.6|-00 46|       |            |                  |            |U          |
|NGC 1568|04 24.4|-00 45| 15.0  |p           |                  |            |Gx         |
|NGC 359 |01 04.4|-00 45| 15.0  |p           |                  |            |Gx         |
|NGC 868 |02 16.0|-00 44| 15.0  |p           |                  |            |Gx         |
|NGC 859 |02 13.9|-00 44|       |            |                  |            |U          |
|NGC 856 |02 13.6|-00 44| 14.0  |p           |                  |            |Gx         |
|NGC 5705|14 39.8|-00 43| 14.0  |p           |                  |  2.8       |Gx         |
|IC 138  |01 33.0|-00 42| 15.0  |p           |                  |  1.4       |Gx         |
|IC 594  |10 08.6|-00 40| 15.0  |p           |                  |  1.1       |Gx         |
|IC 487  |07 59.2|-00 40|       |            |                  |            |U          |
|NGC 1552|04 20.3|-00 40| 14.0  |p           |                  |            |Gx         |
|NGC 4642|12 43.3|-00 39| 14.0  |p           |                  |  2.0       |Gx         |
|NGC 7198|22 05.3|-00 39| 15.0  |p           |                  |            |Gx         |
|IC 1639 |01 11.8|-00 39| 14.0  |p           |                  |  0.8       |Gx         |
|NGC 2494|07 59.2|-00 38| 14.0  |p           |                  |            |Gx         |
|IC 1388 |21 29.9|-00 38| 15.0  |p           |                  |  0.4       |Gx         |
|IC 423  |05 33.4|-00 37|       |            |                  |  6.0       |Nb         |
|IC 1640 |01 11.9|-00 37| 15.0  |p           |                  |            |Gx         |
|NGC 2590|08 25.1|-00 36| 14.0  |p           |                  |            |Gx         |
|NGC 4653|12 43.9|-00 34| 12.3  |            |                  |  2.6       |Gx         |
|IC 653  |10 52.2|-00 33| 14.0  |p           |                  |  2.3       |Gx         |
|NGC 1635|04 40.1|-00 33| 14.0  |p           |                  |  1.7       |Gx         |
|IC 371  |04 30.2|-00 33|       |            |                  |            |U          |
|NGC 4592|12 39.3|-00 32| 12.0  |p           |                  |  4.6       |Gx         |
|NGC 4668|12 45.5|-00 32| 13.1  |            |                  |  1.4       |Gx         |
|IC 1781 |02 06.9|-00 31| 15.0  |p           |                  |            |Gx         |
|IC 753  |11 59.2|-00 30| 14.0  |p           |                  |  0.6       |Gx         |
|NGC 1713|04 58.9|-00 30| 14.0  |p           |                  |            |Gx         |
|NGC 1087|02 46.4|-00 30| 11.0  |            |                  |  3.5       |Gx         |
|IC 1391 |21 35.1|-00 30| 16.0  |p           |                  |            |Gx         |
|NGC 1709|04 58.8|-00 29| 15.0  |p           |                  |            |Gx         |
|IC 1757 |01 57.1|-00 29|       |            |                  |            |U          |
|NGC 4666|12 45.1|-00 28| 10.8  |            |                  |  4.5       |Gx         |
|NGC 6735|19 00.8|-00 28|       |            |                  |            |OC         |
|IC 1756 |01 57.0|-00 28|       |            |                  |            |U          |
|IC 85   |01 11.8|-00 28|       |            |                  |            |U          |
|IC 507  |08 25.6|-00 27|       |            |                  |            |?          |
|NGC 6741|19 02.6|-00 27| 11.0  |p           |                  |  0.1       |Pl         |
|IC 632  |10 39.2|-00 25| 15.0  |p           |                  |  1.0       |Gx         |
|IC 3    |00 12.1|-00 25|       |            |                  |            |Gx         |
|IC 633  |10 39.4|-00 24| 14.0  |p           |                  |  0.6       |Gx         |
|NGC 5691|14 37.9|-00 24| 13.0  |p           |                  |  2.0       |Gx         |
|IC 1643 |01 12.2|-00 24| 15.0  |p           |                  |            |Gx         |
|IC 25   |00 31.2|-00 24| 15.0  |p           |                  |  0.8       |Gx         |
|NGC 3340|10 42.3|-00 23| 13.0  |p           |                  |            |Gx         |
|NGC 5584|14 22.4|-00 23| 12.0  |p           |                  |  3.3       |Gx         |
|NGC 7088|21 33.4|-00 23|       |            |                  |            |-          |
|IC 655  |10 54.4|-00 22|       |            |                  |  1.0       |Nb         |
|NGC 3339|10 42.2|-00 22|       |            |                  |            |SS         |
|NGC 5733|14 42.8|-00 21| 15.0  |p           |                  |  1.3       |Gx         |
|IC 5248 |22 44.7|-00 21|       |            |                  |            |U          |
|NGC 926 |02 26.1|-00 20| 14.0  |p           |                  |  2.5       |Gx         |
|NGC 429 |01 13.0|-00 20| 14.0  |p           |                  |            |Gx         |
|NGC 5719|14 40.9|-00 19| 14.0  |p           |                  |  3.4       |Gx         |
|IC 424  |05 33.7|-00 19|       |            |                  |            |U          |
|IC 2109 |04 59.0|-00 19|       |            |                  |            |U          |
|IC 2110 |04 59.0|-00 19|       |            |                  |            |U          |
|NGC 1586|04 30.7|-00 19| 14.0  |p           |                  |            |Gx         |
|IC 1571 |00 40.7|-00 19| 15.0  |p           |                  |  1.3       |Gx         |
|NGC 6535|18 03.8|-00 18| 10.6  |            |                  |  3.6       |Gb         |
|NGC 1149|02 57.4|-00 18| 15.0  |p           |                  |            |Gx         |
|NGC 60  |00 16.0|-00 18| 15.0  |p           |                  |            |Gx         |
|IC 531  |09 17.9|-00 17| 15.0  |p           |                  |  1.8       |Gx         |
|NGC 5713|14 40.2|-00 17| 11.4  |            |                  |  2.8       |Gx         |
|NGC 6220|16 47.2|-00 17| 15.0  |p           |                  |            |Gx         |
|NGC 1094|02 47.5|-00 17| 14.0  |p           |                  |  1.4       |Gx         |
|NGC 426 |01 12.9|-00 17| 14.0  |p           |                  |            |Gx         |
|IC 1517 |23 56.4|-00 17| 15.0  |p           |                  |            |Gx         |
|IC 560  |09 45.9|-00 16| 15.0  |p           |                  |  1.5       |Gx         |
|NGC 1719|04 59.6|-00 16| 14.0  |p           |                  |            |Gx         |
|NGC 1104|02 48.6|-00 16| 15.0  |p           |                  |  1.3       |Gx         |
|IC 426  |05 36.8|-00 15|       |            |                  |  5.0       |Nb         |
|NGC 1717|04 59.2|-00 15|       |            |                  |            |SS         |
|NGC 1090|02 46.6|-00 15| 11.9  |            |                  |  3.8       |Gx         |
|NGC 430 |01 13.1|-00 15| 13.0  |p           |                  |            |Gx         |
|IC 903  |13 38.4|-00 14|       |            |                  |  0.3       |Nb         |
|NGC 5366|13 56.4|-00 14| 14.0  |p           |                  |            |Gx         |
|IC 566  |09 50.0|-00 14| 15.0  |p           |                  |            |Gx         |
|NGC 2951|09 39.7|-00 14| 15.0  |p           |                  |            |Gx         |
|NGC 934 |02 27.6|-00 14| 14.0  |p           |                  |            |Gx         |
|IC 716  |11 39.1|-00 13| 15.0  |p           |                  |  1.7       |Gx         |
|NGC 4541|12 35.2|-00 13| 14.0  |p           |                  |  1.8       |Gx         |
|NGC 3325|10 39.3|-00 13| 14.0  |p           |                  |            |Gx         |
|NGC 5750|14 46.2|-00 13| 11.6  |            |                  |  2.9       |Gx         |
|NGC 2400|07 30.0|-00 13|       |            |                  |            |TS         |
|NGC 2399|07 29.9|-00 13|       |            |                  |            |TS         |
|IC 307  |03 13.8|-00 13| 15.0  |p           |                  |  1.9       |Gx         |
|NGC 5632|14 28.3|-00 12|       |            |                  |            |Gx         |
|IC 283  |03 03.9|-00 12| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 4044|12 02.5|-00 11| 14.0  |p           |                  |            |Gx         |
|NGC 1144|02 55.2|-00 11| 13.3  |            |                  |  0.9       |Gx         |
|NGC 7001|21 01.2|-00 11| 14.0  |p           |                  |            |Gx         |
|NGC 7668|23 27.2|-00 11|       |            |                  |            |-          |
|NGC 7669|23 27.2|-00 11|       |            |                  |            |-          |
|NGC 1280|03 18.0|-00 10| 14.0  |p           |                  |            |Gx         |
|NGC 1143|02 55.1|-00 10| 13.5  |            |                  |  1.1       |Gx         |
|IC 264  |02 50.9|-00 10|       |            |                  |            |U          |
|IC 21   |00 29.2|-00 10| 14.0  |p           |                  |  0.4       |Gx         |
|NGC 1620|04 36.6|-00 09| 14.0  |p           |                  |  3.0       |Gx         |
|IC 177  |01 57.1|-00 09|       |            |                  |            |U          |
|IC 4850 |19 20.4|-00 08|       |            |                  |            |U          |
|IC 236  |02 32.9|-00 08|       |            |                  |            |U          |
|IC 234  |02 31.7|-00 08| 15.0  |p           |                  |            |Gx         |
|NGC 800 |02 02.3|-00 08| 14.0  |p           |                  |            |Gx         |
|IC 263  |02 50.6|-00 07|       |            |                  |            |U          |
|NGC 7364|22 44.5|-00 07| 14.0  |p           |                  |            |Gx         |
|NGC 237 |00 43.5|-00 07| 14.0  |p           |                  |  1.8       |Gx         |
|NGC 7667|23 24.3|-00 07| 14.0  |p           |                  |            |Gx         |
|NGC 799 |02 02.3|-00 06| 14.0  |p           |                  |            |Gx         |
|NGC 4632|12 42.5|-00 05| 12.0  |p           |                  |  3.2       |Gx         |
|IC 673  |11 09.5|-00 05|       |            |                  |            |U          |
|IC 15   |00 28.0|-00 04|       |            |                  |            |U          |
|IC 5385 |00 06.4|-00 04|       |            |                  |            |U          |
|NGC 5680|14 35.8|-00 03| 15.0  |p           |                  |            |Gx         |
|NGC 7565|23 16.3|-00 03|       |            |                  |            |SS         |
|NGC 3521|11 05.8|-00 02|  8.9  |            |                  |  9.5       |Gx         |
|NGC 4904|13 01.0|-00 02| 12.1  |            |                  |  2.3       |Gx         |
|NGC 5200|13 31.7|-00 02|       |            |                  |            |DS         |
