BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|IC 4705 |18 28.2|-71 42|       |            |                  |  2.7       |Gx         |
|IC 4712 |18 31.1|-71 42|       |            |                  |  2.1       |Gx         |
|IC 4929 |20 06.7|-71 41|       |            |                  |  1.3       |Gx         |
|NGC 1466|03 44.5|-71 41| 11.4  |            |                  |  2.3       |Gb         |
|IC 5060 |20 54.6|-71 38|       |            |                  |            |U          |
|IC 4704 |18 27.9|-71 37|       |            |                  |  3.2       |Gx         |
|IC 4682 |18 16.4|-71 35|       |            |                  |  2.5       |Gx         |
|IC 4992 |20 23.5|-71 34|       |            |                  |  2.0       |Gx         |
|NGC 2213|06 10.7|-71 33|       |            |                  |            |Gb         |
|NGC 458 |01 14.9|-71 33|       |            |                  |            |U          |
|NGC 361 |01 02.2|-71 33| 11.8  |            |                  |  1.5       |Gb         |
|NGC 121 |00 26.8|-71 32| 10.6  |            |                  |  1.5       |Gb         |
|NGC 6777|19 26.8|-71 30|       |            |                  |            |U          |
|NGC 2121|05 48.0|-71 28| 11.2  |            |                  |  1.8       |Gb         |
|NGC 2466|07 45.2|-71 24|       |            |                  |  1.5       |Gx         |
|IC 5118 |21 40.3|-71 23|       |            |                  |            |U          |
|NGC 2103|05 41.6|-71 20|       |            |                  |            |C+N        |
|IC 1655 |01 11.9|-71 20|       |            |                  |            |OC         |
|NGC 1914|05 17.6|-71 14|       |            |                  |            |C+N        |
|NGC 2133|05 51.4|-71 11|       |            |                  |            |Gb         |
|NGC 1848|05 07.3|-71 11|       |            |                  |            |C+N        |
|IC 1708 |01 24.9|-71 11|       |            |                  |            |U          |
|IC 5053 |20 53.6|-71 08|       |            |                  |  1.9       |Gx         |
|NGC 2134|05 50.1|-71 07| 11.0  |p           |                  |            |OC         |
|IC 5024 |20 40.1|-71 06|       |            |                  |            |U          |
|NGC 2018|05 30.6|-71 04|       |            |                  | 25.0       |Nb         |
|IC 4853 |19 30.9|-71 04|       |            |                  |            |U          |
|IC 4945 |20 11.3|-71 01|       |            |                  |  1.0       |Gx         |
|IC 5054 |20 53.7|-71 01|       |            |                  |  1.8       |Gx         |
|NGC 2051|05 36.2|-71 00|       |            |                  |            |OC         |
|IC 4962 |20 15.9|-71 00|       |            |                  |            |U          |
|IC 4982 |20 20.4|-71 00|       |            |                  |            |U          |
|IC 5099 |21 21.9|-71 00|       |            |                  |            |U          |
|NGC 2031|05 33.7|-70 59|       |            |                  |            |OC         |
|IC 4985 |20 20.7|-70 59|       |            |                  |            |U          |
|IC 5116 |21 37.1|-70 59|       |            |                  |            |U          |
|NGC 2111|05 44.7|-70 57|       |            |                  |            |OC         |
|NGC 2145|05 54.5|-70 55|       |            |                  |            |OC         |
|IC 4972 |20 17.7|-70 55|       |            |                  |  1.0       |Gx         |
|NGC 4833|12 59.6|-70 53|  7.4  |            |                  | 13.5       |Gb         |
|NGC 6876|20 18.3|-70 52| 13.0  |p           |                  |  2.4       |Gx         |
|NGC 6880|20 19.5|-70 52|       |            |                  |  2.1       |Gx         |
|NGC 6877|20 18.6|-70 51| 12.7  |            |                  |  1.4       |Gx         |
|IC 4981 |20 19.7|-70 51|       |            |                  |  0.7       |Gx         |
|NGC 362 |01 03.2|-70 51|  6.6  |            |                  | 12.9       |Gb         |
|IC 5106 |21 28.6|-70 50|       |            |                  |  1.3       |Gx         |
|NGC 2010|05 30.6|-70 49|       |            |                  |            |OC         |
|NGC 1987|05 27.2|-70 46| 12.0  |p           |                  |            |Gb         |
|NGC 1861|05 10.1|-70 46|       |            |                  |            |OC         |
|NGC 6872|20 16.9|-70 46| 11.6  |            |                  |  4.7       |Gx         |
|IC 4970 |20 16.9|-70 45| 13.9  |            |                  |  0.8       |Gx         |
|NGC 1833|05 04.3|-70 43|       |            |                  |            |C+N        |
|NGC 1837|05 04.7|-70 42|       |            |                  |            |C+N        |
|NGC 2171|05 58.6|-70 41|       |            |                  |            |Gx         |
|NGC 2075|05 38.2|-70 40|       |            |                  |            |C+N        |
|NGC 2056|05 36.5|-70 40|       |            |                  |            |OC         |
|NGC 6808|19 43.9|-70 39| 13.0  |p           |                  |  1.7       |Gx         |
|IC 5091 |21 17.7|-70 39|       |            |                  |            |U          |
|IC 4971 |20 17.0|-70 38|       |            |                  |            |U          |
|IC 5093 |21 18.8|-70 38|       |            |                  |            |U          |
|NGC 2107|05 43.2|-70 37| 11.0  |p           |                  |            |OC         |
|NGC 1815|05 02.3|-70 37|       |            |                  |            |OC         |
|IC 4899 |19 54.4|-70 36|       |            |                  |            |U          |
|IC 4541 |15 29.9|-70 35|       |            |                  |  2.0       |Gx         |
|NGC 1651|04 37.5|-70 35|       |            |                  |            |Gb         |
|IC 4967 |20 16.4|-70 34|       |            |                  |  0.6       |Gx         |
|NGC 2038|05 34.5|-70 33|       |            |                  |            |OC         |
|IC 4960 |20 15.4|-70 32|       |            |                  |  1.0       |Gx         |
|NGC 1878|05 12.6|-70 28|       |            |                  |            |OC         |
|NGC 1845|05 06.3|-70 28|       |            |                  |            |OC         |
|NGC 1754|04 54.4|-70 27|       |            |                  |            |Gb         |
|IC 4903 |19 58.2|-70 27|       |            |                  |            |U          |
|NGC 1775|04 56.8|-70 26|       |            |                  |            |OC         |
|NGC 1557|04 13.3|-70 25|       |            |                  |            |-          |
|NGC 5359|13 59.8|-70 24|       |            |                  |            |OC         |
|NGC 1823|05 03.5|-70 21|       |            |                  |            |OC         |
|NGC 7123|21 50.8|-70 20|       |            |                  |  3.5       |Gx         |
|NGC 1813|05 02.6|-70 19|       |            |                  |            |OC         |
|NGC 2057|05 36.7|-70 15|       |            |                  |            |OC         |
|NGC 2072|05 38.1|-70 14|       |            |                  |            |OC         |
|NGC 2046|05 35.3|-70 14|       |            |                  |            |OC         |
|IC 4892 |19 49.5|-70 14|       |            |                  |  1.6       |Gx         |
|NGC 1766|04 55.8|-70 14|       |            |                  |            |OC         |
|NGC 2065|05 37.3|-70 13| 11.0  |p           |                  |            |OC         |
|NGC 2047|05 35.6|-70 11|       |            |                  |            |OC         |
|IC 4904 |19 58.5|-70 11|       |            |                  |            |U          |
|NGC 2066|05 37.5|-70 10|       |            |                  |            |OC         |
|NGC 2019|05 31.7|-70 10| 11.0  |p           |                  |            |Gb         |
|NGC 1943|05 22.7|-70 10| 12.0  |p           |                  |            |C+N        |
|NGC 1791|04 59.0|-70 10|       |            |                  |            |Nb         |
|IC 4595 |16 20.7|-70 09|       |            |                  |  2.5       |Gx         |
|NGC 2058|05 36.6|-70 08| 12.0  |p           |                  |            |OC         |
|IC 4724 |18 38.6|-70 07|       |            |                  |            |U          |
|NGC 2059|05 36.7|-70 06|       |            |                  |            |OC         |
|NGC 2043|05 36.2|-70 05|       |            |                  |            |-          |
|NGC 2122|05 48.7|-70 04|       |            |                  |            |C+N        |
|NGC 2036|05 34.4|-70 04|       |            |                  |            |OC         |
|NGC 1711|04 50.5|-70 00| 10.0  |p           |                  |            |OC         |
|NGC 1986|05 27.5|-69 58| 11.0  |p           |                  |            |OC         |
|IC 2448 |09 07.1|-69 57| 12.0  |p           |                  |  0.1       |Pl         |
|NGC 1950|05 24.5|-69 57|       |            |                  |            |OC         |
|NGC 2028|05 33.7|-69 56|       |            |                  |            |OC         |
|NGC 2016|05 31.5|-69 56|       |            |                  |            |OC         |
|NGC 1959|05 25.8|-69 56|       |            |                  |            |OC         |
|NGC 1939|05 21.4|-69 56|       |            |                  |            |OC         |
|IC 4773 |18 51.3|-69 55|       |            |                  |  1.6       |Gx         |
|NGC 1938|05 21.4|-69 55|       |            |                  |            |OC         |
|NGC 406 |01 07.4|-69 53| 12.0  |p           |                  |  3.8       |Gx         |
|NGC 1971|05 26.7|-69 51|       |            |                  |            |OC         |
|NGC 1702|04 49.3|-69 51|       |            |                  |            |OC         |
|NGC 1673|04 42.4|-69 51|       |            |                  |            |OC         |
|NGC 1958|05 25.5|-69 50|       |            |                  |            |OC         |
|NGC 1972|05 26.7|-69 49|       |            |                  |            |OC         |
|NGC 1969|05 26.5|-69 49|       |            |                  |            |OC         |
|NGC 1751|04 54.2|-69 49|       |            |                  |            |Gb         |
|NGC 1921|05 19.3|-69 48|       |            |                  |            |Nb         |
|NGC 1795|04 59.5|-69 48|       |            |                  |            |Gb         |
|IC 1664 |01 14.3|-69 48|       |            |                  |            |?          |
|NGC 6392|17 43.5|-69 47|       |            |                  |  1.5       |Gx         |
|NGC 2079|05 39.6|-69 47|       |            |                  |            |C+N        |
|NGC 2048|05 35.2|-69 46|       |            |                  | 18.0       |Nb         |
|NGC 2113|05 45.5|-69 45|       |            |                  |            |C+N        |
|NGC 2083|05 39.9|-69 45|       |            |                  |            |C+N        |
|NGC 2084|05 39.9|-69 45|       |            |                  |            |C+N        |
|NGC 2078|05 39.6|-69 45|       |            |                  |            |C+N        |
|NGC 2052|05 37.3|-69 45|       |            |                  |            |Nb         |
|NGC 2037|05 34.7|-69 45|       |            |                  |            |C+N        |
|NGC 1704|04 49.7|-69 45|       |            |                  |            |OC         |
|NGC 2033|05 34.5|-69 44|       |            |                  |            |C+N        |
|NGC 2005|05 30.0|-69 44|       |            |                  |            |OC         |
|IC 2145 |05 40.4|-69 40|       |            |                  |            |Nb         |
|NGC 2077|05 39.6|-69 40|       |            |                  | 15.0       |C+N        |
|NGC 2086|05 40.4|-69 39|       |            |                  |            |C+N        |
|NGC 2085|05 40.2|-69 39|       |            |                  |            |C+N        |
|NGC 2080|05 39.7|-69 39|       |            |                  |            |C+N        |
|NGC 1918|05 19.1|-69 39|       |            |                  |            |C+N        |
|NGC 2822|09 14.0|-69 38| 12.0  |p           |                  |  2.1       |Gx         |
